,Name,Team,Pos,AVG,ESPN,CBS,Yahoo,Underdog,Fantrax,ESPN AAV,Status,Injury
984,R.J. Hunter,FA,G,732.8,-,-,-,-,732.80,-1,,
T992,Jason Washburn,FA,C,-,-,-,-,-,-,-1,,
T992,Alex Stepheson,FA,F,-,-,-,-,-,-,-1,,
T992,John Holland,FA,F,-,-,-,-,-,-,-1,,
T992,Skal Labissiere,FA,C,-,-,-,-,-,-,-1,,
T992,Dragan Bender,FA,F,-,-,-,-,-,-,-1,,
T992,Kyle Wiltjer,FA,F,-,-,-,-,-,-,-1,,
T992,Ante Zizic,FA,C,-,-,-,-,-,-,-1,,
957,Landry Nnoko,FA,C,436.2,-,-,-,-,436.20,-1,,
T992,Reggie Hearn,FA,G,-,-,-,-,-,-,-1,,
T992,Jonah Bolden,FA,F,-,-,-,-,-,-,-1,,
T992,Jonathan Gibson,FA,G,-,-,-,-,-,-,-1,,
T992,Jaron Blossomgame,FA,F,-,-,-,-,-,-,-1,,
T992,Tyler Lydon,FA,F,-,-,-,-,-,-,-1,,
T992,Jawun Evans,FA,G,-,-,-,-,-,-,-1,,
T992,Ivan Rabb,FA,C,-,-,-,-,-,-,-1,,
T992,Milos Teodosic,FA,G,-,-,-,-,-,-,-1,,
T992,Nigel Williams-Goss,FA,G,-,-,-,-,-,-,-1,,
910,George de Paula,FA,G,398.2,-,-,-,-,398.17,-1,,
T992,Kadeem Allen,FA,G,-,-,-,-,-,-,-1,,
T992,Andre Ingram,FA,G,-,-,-,-,-,-,-1,,
T992,Jacob Pullen,FA,G,-,-,-,-,-,-,-1,,
T992,Jordan McRae,FA,G,-,-,-,-,-,-,-1,,
T992,Nick Johnson,FA,G,-,-,-,-,-,-,-1,,
T992,Johnny O'Bryant,FA,F,-,-,-,-,-,-,-1,,
T992,Cory Jefferson,FA,F,-,-,-,-,-,-,-1,,
T992,Mario Hezonja,FA,F,-,-,-,-,-,-,-1,,
980,Justin Brownlee,FA,F,585.7,-,-,-,-,585.70,-1,,
T992,Arinze Onuaku,FA,C,-,-,-,-,-,-,-1,,
T992,Ryan Kelly,FA,F,-,-,-,-,-,-,-1,,
T992,Jack Cooley,FA,C,-,-,-,-,-,-,-1,,
T992,Brandon Paul,FA,G,-,-,-,-,-,-,-1,,
T992,Henry Sims,FA,C,-,-,-,-,-,-,-1,,
T992,Justin Hamilton,FA,C,-,-,-,-,-,-,-1,,
T992,Kostas Papanikolaou,FA,F,-,-,-,-,-,-,0.00,,
T992,Kyle O'Quinn,FA,C,-,-,-,-,-,-,-1,,
T992,Scott Machado,FA,G,-,-,-,-,-,-,-1,,
931,Quincy Acy,FA,F,419.2,-,-,-,-,419.20,-1,,
T992,Robert Sacre,FA,C,-,-,-,-,-,-,-1,,
T992,Chris Copeland,FA,F,-,-,-,-,-,-,-1,,
T992,Donald Sloan,FA,G,-,-,-,-,-,-,-1,,
T992,Jared Sullinger,FA,F,-,-,-,-,-,-,-1,,
T992,DeAndre Liggins,FA,G,-,-,-,-,-,-,-1,,
T992,Greg Smith,FA,F,-,-,-,-,-,-,-1,,
T992,John Henson,FA,C,-,-,-,-,-,-,-1,,
T992,Thomas Robinson,FA,C,-,-,-,-,-,-,-1,,
T992,Michael Kidd-Gilchrist,FA,F,-,-,-,-,-,-,-1,,
T992,Dion Waiters,FA,G,-,-,-,-,-,-,-1,,
T992,Marquis Teague,FA,G,-,-,-,-,-,-,-1,,
T992,Tony Wroten,FA,G,-,-,-,-,-,-,-1,,
T992,Orlando Johnson,FA,G,-,-,-,-,-,-,-1,,
T992,Andrew Nicholson,FA,F,-,-,-,-,-,-,-1,,
T992,Festus Ezeli,FA,C,-,-,-,-,-,-,-1,,
T992,Brian Roberts,FA,G,-,-,-,-,-,-,-1,,
967,Anthony Bennett,FA,F,443.7,-,-,-,-,443.70,-1,,
T992,Jeff Withey,FA,C,-,-,-,-,-,-,-1,,
T992,Erick Green,FA,G,-,-,-,-,-,-,-1,,
985,Alex Abrines,FA,G,735.8,-,-,-,-,735.80,-1,,
T992,Ray McCallum,FA,G,-,-,-,-,-,-,-1,,
T992,Jordan Hamilton,FA,F,-,-,-,-,-,-,-1,,
T992,James Anderson,FA,G,-,-,-,-,-,-,-1,,
T992,Derrick Williams,FA,F,-,-,-,-,-,-,-1,,
T992,Lavoy Allen,FA,C,-,-,-,-,-,-,-1,,
T992,Kalin Lucas,FA,G,-,-,-,-,-,-,-1,,
T992,Jeremy Pargo,FA,G,-,-,-,-,-,-,-1,,
T992,Julyan Stone,FA,G,-,-,-,-,-,-,-1,,
T992,Furkan Aldemir,FA,F,-,-,-,-,-,-,-1,,
T992,Iman Shumpert,FA,G,-,-,-,-,-,-,-1,,
T992,Justin Harper,FA,F,-,-,-,-,-,-,-1,,
981,Nikola Mirotic,FA,F,684.8,-,-,-,-,684.80,-1,,
T992,Norris Cole,FA,G,-,-,-,-,-,-,-1,,
T992,Andrew Goudelock,FA,G,-,-,-,-,-,-,-1,,
T992,Luke Babbitt,FA,F,-,-,-,-,-,-,-1,,
T992,Jeremy Evans,FA,F,-,-,-,-,-,-,-1,,
T992,Timofey Mozgov,FA,C,-,-,-,-,-,-,-1,,
T992,Jeremy Lin,FA,G,-,-,-,-,-,-,0.35,,
T992,Larry Sanders,FA,C,-,-,-,-,-,-,-1,,
T992,Jordan Crawford,FA,G,-,-,-,-,-,-,-1,,
T992,Tibor Pleiss,FA,C,-,-,-,-,-,-,-1,,
T992,Manny Harris,FA,G,-,-,-,-,-,-,-1,,
T992,DeJuan Blair,FA,F,-,-,-,-,-,-,-1,,
T992,Tyler Hansbrough,FA,F,-,-,-,-,-,-,-1,,
T992,Marcus Thornton,FA,G,-,-,-,-,-,-,-1,,
989,Jeff Adrien,FA,F,749.8,-,-,-,-,749.80,-1,,
T992,Jeff Ayres,FA,F,-,-,-,-,-,-,-1,,
T992,Toney Douglas,FA,G,-,-,-,-,-,-,-1,,
T992,Alonzo Gee,FA,F,-,-,-,-,-,-,-1,,
T992,Cole Aldrich,FA,C,-,-,-,-,-,-,-1,,
T992,Tyson Chandler,FA,C,-,-,-,-,-,-,-1,,
T992,Anderson Varejao,FA,C,-,-,-,-,-,-,-1,,
T992,Damien Wilkins,FA,F,-,-,-,-,-,-,-1,,
T992,Jarrett Jack,FA,G,-,-,-,-,-,-,-1,,
T992,Ian Mahinmi,FA,C,-,-,-,-,-,-,-1,,
T992,Ronnie Price,FA,G,-,-,-,-,-,-,-1,,
T992,Alan Anderson,FA,F,-,-,-,-,-,-,-1,,
T992,Amar'e Stoudemire,FA,C,-,-,-,-,-,-,-1,,
T992,Luis Scola,FA,F,-,-,-,-,-,-,-1,,
T992,Kyle Korver,FA,G,-,-,-,-,-,-,-1,,
T992,Brandon Bass,FA,F,-,-,-,-,-,-,-1,,
T992,Nate Robinson,FA,G,-,-,-,-,-,-,0.01,,
975,Josh Smith,FA,F,449.9,-,-,-,-,449.93,-1,,
T992,Sergio Rodriguez,FA,G,-,-,-,-,-,-,-1,,
T992,Thabo Sefolosha,FA,F,-,-,-,-,-,-,-1,,
T992,Lou Amundson,FA,C,-,-,-,-,-,-,-1,,
T992,Marco Belinelli,FA,G,-,-,-,-,-,-,-1,,
T992,Nick Young,FA,G,-,-,-,-,-,-,0.01,,
T992,Brandan Wright,FA,C,-,-,-,-,-,-,-1,,
T992,Darrell Arthur,FA,F,-,-,-,-,-,-,-1,,
T992,Mario Chalmers,FA,G,-,-,-,-,-,-,-1,,
T992,Courtney Lee,FA,G,-,-,-,-,-,-,-1,,
T992,Jason Thompson,FA,F,-,-,-,-,-,-,-1,,
T992,Sonny Weems,FA,G,-,-,-,-,-,-,-1,,
T992,Brandon Jennings,FA,G,-,-,-,-,-,-,-1,,
T992,Anthony Morrow,FA,G,-,-,-,-,-,-,-1,,
912,Cartier Martin,FA,F,401.2,-,-,-,-,401.17,-1,,
T992,Ty Lawson,FA,G,-,-,-,-,-,-,-1,,
T992,Marreese Speights,FA,F,-,-,-,-,-,-,-1,,
T992,Alexis Ajinca,FA,C,-,-,-,-,-,-,-1,,
T992,C.J. Watson,FA,G,-,-,-,-,-,-,-1,,
T992,JJ Hickson,FA,F,-,-,-,-,-,-,-1,,
T992,O.J. Mayo,FA,G,-,-,-,-,-,-,-1,,
T992,Ryan Anderson,FA,F,-,-,-,-,-,-,-1,,
T992,Josh McRoberts,FA,F,-,-,-,-,-,-,-1,,
T992,Bobby Brown,FA,G,-,-,-,-,-,-,-1,,
T992,Carl Landry,FA,F,-,-,-,-,-,-,-1,,
T992,Jared Dudley,FA,F,-,-,-,-,-,-,-1,,
T992,Brandon Rush,FA,G,-,-,-,-,-,-,-1,,
T992,Reggie Williams,FA,G,-,-,-,-,-,-,-1,,
T992,Wilson Chandler,FA,F,-,-,-,-,-,-,-1,,
T992,Joel Anthony,FA,C,-,-,-,-,-,-,-1,,
